,accuracy,precision,recall,f1,loss
901,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.006484336219727993
902,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.030144983902573586
903,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.024554315954446793
904,1.0,0.9999999999888889,0.9999999999888889,0.9999999999388889,0.0008923506829887629
905,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.0059146820567548275
906,1.0,0.99999999999,0.99999999999,0.99999999994,0.00424607889726758
907,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.02016022615134716
908,0.90625,0.8947368421005542,0.9444444444391976,0.9189189188639885,0.338920921087265
909,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.004472445696592331
910,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.02332160621881485
911,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.06027790904045105
912,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.008560309186577797
913,1.0,0.999999999990909,0.999999999990909,0.999999999940909,0.011803965084254742
914,0.96875,0.9999999999928572,0.9333333333271111,0.965517241322711,0.15144430100917816
915,0.96875,0.9230769230698225,0.9999999999916667,0.9599999999424,0.02922476828098297
916,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.013918349519371986
917,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.03991460055112839
918,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.009880752302706242
919,1.0,0.9999999999950001,0.9999999999950001,0.9999999999450002,0.031362734735012054
920,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.028923597186803818
921,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.011148734949529171
922,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.011508704163134098
923,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.0031719182152301073
924,0.96875,0.9999999999916667,0.9230769230698225,0.9599999999424,0.07569227367639542
925,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.00390704395249486
926,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.0021204007789492607
927,1.0,0.9999999999944446,0.9999999999944446,0.9999999999444447,0.008893925696611404
928,0.90625,0.7999999999946666,0.9999999999916667,0.8888888888329217,0.11790745705366135
